scope,gate,condition,scenario,policy,cells,active,valves,changed,eligible,extra_rejected,newly_rejected,newly_accepted,pre_fp,pre_tp,final_fp,final_tp,honest_count,malicious_count
gate_v2,original,cutoff_attacked,scenario_cut_minmax,P0,18,0,0,0,0,0,0,0,0,0,0,0,1296,324
gate_v2,original,cutoff_attacked,scenario_cut_minmax,P1,18,0,0,0,0,0,0,0,0,0,0,0,1296,324
gate_v2,original,cutoff_attacked,scenario_cut_minmax,P2,18,0,0,0,0,0,0,0,0,0,0,0,1296,324
gate_v2,density_only,cutoff_attacked,scenario_cut_minmax,P0,18,18,0,0,1296,0,0,0,0,0,0,0,1296,324
gate_v2,density_only,cutoff_attacked,scenario_cut_minmax,P1,18,18,0,0,1296,0,0,0,0,0,0,0,1296,324
gate_v2,density_only,cutoff_attacked,scenario_cut_minmax,P2,18,18,18,0,1296,1296,0,0,1296,0,0,0,1296,324
gate_v2,original,cutoff_clean,scenario_cut_minmax,P0,18,10,1,0,190,0,0,0,372,0,319,0,1620,0
gate_v2,original,cutoff_clean,scenario_cut_minmax,P1,18,10,5,4,190,78,32,0,450,0,351,0,1620,0
gate_v2,original,cutoff_clean,scenario_cut_minmax,P2,18,10,8,3,190,190,11,4,562,0,326,0,1620,0
gate_v2,density_only,cutoff_clean,scenario_cut_minmax,P0,18,16,1,0,327,0,0,0,372,0,319,0,1620,0
gate_v2,density_only,cutoff_clean,scenario_cut_minmax,P1,18,16,5,7,327,122,76,0,494,0,395,0,1620,0
gate_v2,density_only,cutoff_clean,scenario_cut_minmax,P2,18,16,9,7,327,327,89,4,699,0,404,0,1620,0
gate_v2,original,cutoff_attacked,scenario_cut_backdoor,P0,18,0,0,0,0,0,0,0,0,0,0,0,1296,324
gate_v2,original,cutoff_attacked,scenario_cut_backdoor,P1,18,0,0,0,0,0,0,0,0,0,0,0,1296,324
gate_v2,original,cutoff_attacked,scenario_cut_backdoor,P2,18,0,0,0,0,0,0,0,0,0,0,0,1296,324
gate_v2,density_only,cutoff_attacked,scenario_cut_backdoor,P0,18,17,0,0,188,0,0,0,0,0,0,0,1296,324
gate_v2,density_only,cutoff_attacked,scenario_cut_backdoor,P1,18,17,0,1,188,1,1,0,1,0,1,0,1296,324
gate_v2,density_only,cutoff_attacked,scenario_cut_backdoor,P2,18,17,0,8,188,188,188,0,142,46,142,46,1296,324
gate_v2,original,cutoff_clean,scenario_cut_backdoor,P0,18,0,0,0,0,0,0,0,1,0,1,0,1620,0
gate_v2,original,cutoff_clean,scenario_cut_backdoor,P1,18,0,0,0,0,0,0,0,1,0,1,0,1620,0
gate_v2,original,cutoff_clean,scenario_cut_backdoor,P2,18,0,0,0,0,0,0,0,1,0,1,0,1620,0
gate_v2,density_only,cutoff_clean,scenario_cut_backdoor,P0,18,15,0,0,81,0,0,0,1,0,1,0,1620,0
gate_v2,density_only,cutoff_clean,scenario_cut_backdoor,P1,18,15,0,0,81,0,0,0,1,0,1,0,1620,0
gate_v2,density_only,cutoff_clean,scenario_cut_backdoor,P2,18,15,0,7,81,81,81,0,82,0,82,0,1620,0
historical_abc,original,clean,ABC,P0,3,3,0,0,66,0,0,0,77,0,77,0,270,0
historical_abc,original,clean,ABC,P1,3,3,0,3,66,55,55,0,132,0,132,0,270,0
historical_abc,original,clean,ABC,P2,3,3,3,3,66,66,0,28,143,0,49,0,270,0
