dataset,seed,round,arm,accuracy,fpr,rejected,l0_rejected,accepted_sample_share,floor_n,floor_fpr,floor_l0_fpr,floor_median_norm,floor_median_unique_examples,above_n,above_fpr,above_l0_fpr,above_median_norm,above_median_unique_examples
har,42,0,A,0.1825585341024771,0.0,0,0,1.0,76,0.0,0.0,0.2898411750793457,20.0,14,0.0,0.0,0.3013466149568558,160.0
har,42,0,B,0.1825585341024771,0.0,0,0,1.0,76,0.0,0.0,0.28848496079444885,20.0,14,0.0,0.0,0.3026454895734787,86.0
har,42,0,C,0.1825585341024771,0.0,0,0,1.0,76,0.0,0.0,0.28907357156276703,20.0,14,0.0,0.0,0.3162773698568344,20.0
har,42,9,A,0.41126569392602647,0.0,0,0,1.0,73,0.0,0.0,0.295906662940979,20,17,0.0,0.0,0.7337517738342285,160
har,42,9,B,0.41126569392602647,0.0,0,0,1.0,73,0.0,0.0,0.29945769906044006,20,17,0.0,0.0,0.7489437460899353,86
har,42,9,C,0.4116050220563285,0.0,0,0,1.0,73,0.0,0.0,0.2986525595188141,20,17,0.0,0.0,0.7682062387466431,20
har,42,19,A,0.44248388191381066,0.0,0,0,1.0,72,0.0,0.0,0.307239830493927,20.0,18,0.0,0.0,0.7585172653198242,160.0
har,42,19,B,0.44350186630471666,0.0,0,0,1.0,72,0.0,0.0,0.30895107984542847,20.0,18,0.0,0.0,0.7535386681556702,85.0
har,42,19,C,0.4428232100441127,0.0,0,0,1.0,72,0.0,0.0,0.3022407442331314,20.0,18,0.0,0.0,0.7600363492965698,20.0
har,42,29,A,0.4129623345775365,0.1111111111111111,10,10,0.6137647663071392,72,0.013888888888888888,0.013888888888888888,0.2205621525645256,20.0,18,0.5,0.5,0.8344720304012299,160.0
har,42,29,B,0.4149983033593485,0.1,9,9,0.6560520458825544,72,0.013888888888888888,0.013888888888888888,0.21354064345359802,20.0,18,0.4444444444444444,0.4444444444444444,0.8378250598907471,87.0
har,42,29,C,0.41228367831693247,0.1111111111111111,10,10,0.6137647663071392,72,0.013888888888888888,0.013888888888888888,0.20789630711078644,20.0,18,0.5,0.5,0.8451396226882935,20.0
har,137,0,A,0.18052256532066507,0.0,0,0,1.0,75,0.0,0.0,0.37301522493362427,20,15,0.0,0.0,0.25181058049201965,160
har,137,0,B,0.18052256532066507,0.0,0,0,1.0,75,0.0,0.0,0.37288862466812134,20,15,0.0,0.0,0.2513415217399597,83
har,137,0,C,0.18052256532066507,0.0,0,0,1.0,75,0.0,0.0,0.3738977909088135,20,15,0.0,0.0,0.2526913583278656,20
har,137,9,A,0.20257889379029523,0.0,0,0,1.0,72,0.0,0.0,0.3832690864801407,20.0,18,0.0,0.0,0.603386402130127,160.0
har,137,9,B,0.20190023752969122,0.0,0,0,1.0,72,0.0,0.0,0.38402897119522095,20.0,18,0.0,0.0,0.5952154695987701,80.0
har,137,9,C,0.20190023752969122,0.0,0,0,1.0,72,0.0,0.0,0.38353055715560913,20.0,18,0.0,0.0,0.5826811194419861,20.0
har,137,19,A,0.33220223956566,0.0,0,0,1.0,74,0.0,0.0,0.10219700261950493,20.0,16,0.0,0.0,0.6394128799438477,160.0
har,137,19,B,0.332541567695962,0.0,0,0,1.0,74,0.0,0.0,0.10365711152553558,20.0,16,0.0,0.0,0.633815735578537,82.5
har,137,19,C,0.33220223956566,0.0,0,0,1.0,74,0.0,0.0,0.10375471040606499,20.0,16,0.0,0.0,0.616258978843689,20.0
har,137,29,A,0.34543603664743805,0.0,0,0,1.0,72,0.0,0.0,0.16336649656295776,20.0,18,0.0,0.0,0.5800110995769501,160.0
har,137,29,B,0.3450967085171361,0.0,0,0,1.0,72,0.0,0.0,0.16068144142627716,20.0,18,0.0,0.0,0.5866681337356567,82.5
har,137,29,C,0.3430607397353241,0.0,0,0,1.0,72,0.0,0.0,0.16028976440429688,20.0,18,0.0,0.0,0.5654562711715698,20.0
har,2024,0,A,0.36138445877163217,0.0,0,0,1.0,68,0.0,0.0,0.315490260720253,20.0,22,0.0,0.0,0.3157117962837219,154.0
har,2024,0,B,0.36443841194435017,0.0,0,0,1.0,68,0.0,0.0,0.31624266505241394,20.0,22,0.0,0.0,0.316651850938797,81.0
har,2024,0,C,0.36952833389888023,0.0,0,0,1.0,68,0.0,0.0,0.31645336747169495,20.0,22,0.0,0.0,0.3162063807249069,20.0
har,2024,9,A,0.34781133355955207,0.0,0,0,1.0,66,0.0,0.0,0.5094185918569565,20.0,24,0.0,0.0,0.5886388123035431,141.5
har,2024,9,B,0.3498473023413641,0.0,0,0,1.0,66,0.0,0.0,0.5078476369380951,20.0,24,0.0,0.0,0.586192786693573,77.0
har,2024,9,C,0.3474720054292501,0.0,0,0,1.0,66,0.0,0.0,0.5097469240427017,20.0,24,0.0,0.0,0.5905033648014069,20.0
har,2024,19,A,0.5870376654224635,0.0,0,0,1.0,68,0.0,0.0,0.532372236251831,20.0,22,0.0,0.0,0.592000275850296,141.5
har,2024,19,B,0.5850016966406515,0.0,0,0,1.0,68,0.0,0.0,0.531441867351532,20.0,22,0.0,0.0,0.5933928489685059,77.0
har,2024,19,C,0.5850016966406515,0.0,0,0,1.0,68,0.0,0.0,0.5312249660491943,20.0,22,0.0,0.0,0.5927305519580841,20.0
har,2024,29,A,0.47336274177129284,0.0,0,0,1.0,68,0.0,0.0,0.4400229752063751,20.0,22,0.0,0.0,0.6047796905040741,119.5
har,2024,29,B,0.4540210383440787,0.0,0,0,1.0,68,0.0,0.0,0.4407997578382492,20.0,22,0.0,0.0,0.6212900876998901,71.5
har,2024,29,C,0.4489311163895487,0.0,0,0,1.0,68,0.0,0.0,0.4440124034881592,20.0,22,0.0,0.0,0.6111858189105988,20.0
mnist,42,0,A,0.1114,0.0,0,0,1.0,44,0.0,0.0,0.7100068926811218,20.0,46,0.0,0.0,0.7189798653125763,160.0
mnist,42,0,B,0.1115,0.0,0,0,1.0,44,0.0,0.0,0.7100068926811218,20.0,46,0.0,0.0,0.7273654639720917,89.0
mnist,42,0,C,0.1112,0.0,0,0,1.0,44,0.0,0.0,0.7100068926811218,20.0,46,0.0,0.0,0.724513590335846,20.0
mnist,42,9,A,0.1907,0.4222222222222222,38,38,0.2457084943307785,49,0.061224489795918366,0.061224489795918366,0.13074152171611786,20,41,0.8536585365853658,0.8536585365853658,0.9012467861175537,160
mnist,42,9,B,0.1908,0.4222222222222222,38,38,0.2457084943307785,49,0.061224489795918366,0.061224489795918366,0.13074152171611786,20,41,0.8536585365853658,0.8536585365853658,0.9231869578361511,88
mnist,42,9,C,0.1908,0.43333333333333335,39,39,0.24528620595004327,49,0.08163265306122448,0.08163265306122448,0.13074152171611786,20,41,0.8536585365853658,0.8536585365853658,0.9200179576873779,20
mnist,42,19,A,0.2059,0.4444444444444444,40,40,0.23490558392090122,48,0.08333333333333333,0.08333333333333333,0.10480428859591484,20.0,42,0.8571428571428571,0.8571428571428571,0.9661875665187836,160.0
